packed_designation,resonant_count,classical_count,scattering_count,detached_count,other_count
J99CF3N,0,301,0,0,0
J99CF4G,0,301,0,0,0
J99CF4H,0,301,0,0,0
J99CF8K,0,301,0,0,0
J99D00A,0,301,0,0,0
J99D08H,0,301,0,0,0
J99G46S,0,301,0,0,0
J99H11S,0,301,0,0,0
J99H12G,296,5,0,0,0
J99H12H,0,301,0,0,0
J99H12J,0,301,0,0,0
J99JD2D,0,301,0,0,0
J99K18R,301,0,0,0,0
J99O03Z,0,301,0,0,0
J99O04A,0,301,0,0,0
J99O04C,3,298,0,0,0
J99O04D,0,301,0,0,0
J99O04G,0,301,0,0,0
J99O04H,0,301,0,0,0
J99O04K,0,301,0,0,0
J99RL4T,0,301,0,0,0
J99RL4U,252,0,49,0,0
J99RL4W,0,301,0,0,0
J99RL4X,0,301,0,0,0
J99RL4Z,81,0,0,220,0
J99RL5B,301,0,0,0,0
J99RL5G,0,301,0,0,0
J99RL5V,0,301,0,0,0
J99RL5W,301,0,0,0,0
J99RL5X,0,301,0,0,0
K00AP5F,0,0,0,301,0
K00CA4L,0,301,0,0,0
K00CA4M,22,279,0,0,0
K00CA5K,301,0,0,0,0
K00CA5L,0,301,0,0,0
K00CB4N,0,301,0,0,0
K00F08B,301,0,0,0,0
K00F08C,0,301,0,0,0
K00F08H,0,301,0,0,0
K00F53R,66,235,0,0,0
K00F53S,0,301,0,0,0
K00F53T,0,301,0,0,0
K00GE6V,0,301,0,0,0
K00GE6X,0,301,0,0,0
K00GE6Y,0,301,0,0,0
K00J81F,0,301,0,0,0
K00K04L,0,301,0,0,0
K00O51B,0,301,0,0,0
K00O67H,0,301,0,0,0
K00O67P,301,0,0,0,0
K00P29U,0,301,0,0,0
