packed_designation,a_au,Nopp
J99RL5B,48.1264845,5
J99RL5G,46.8109928,8
J99RL5V,45.0222974,3
J99RL5W,36.6187103,5
J99RL5X,47.2956863,6
K00AP5F,48.5685431,7
K00CA4L,44.1857326,8
K00CA4M,44.0740215,3
K00CA5K,39.2991143,9
K00CA5L,42.8430746,9
K00CB4N,43.7329223,5
K00F08B,39.098211,4
K00F08C,43.706304,4
K00F08H,43.2538251,5
K00F53R,44.2702547,5
K00F53S,42.8411147,5
K00F53T,44.9566463,5
K00GE6V,43.8050673,5
K00GE6X,43.8452167,5
K00GE6Y,43.7192618,4
K00J81F,45.9605911,5
K00K04L,38.5631448,6
K00O51B,38.0728105,6
K00O67H,44.4820658,7
K00O67P,43.987703,9
K00P29U,42.7469686,4
K00P29W,44.4315699,3
K00P29X,42.8620626,5
K00P29Y,44.5229027,4
K00P30A,47.3428754,4
K00P30C,43.3498181,5
K00P30D,46.843888,7
K00P30F,77.1052836,4
K00P30G,45.3756031,5
K00P30H,78.1082467,5
K00P30L,42.2720419,5
K00P30M,44.2823096,5
K00P30N,45.1649979,4
K00QM6H,39.8562882,4
K00QM6L,44.0976132,5
K00QP1N,42.5797007,8
K00QP2L,46.2791858,3
K00SX1R,55.6878716,6
K00Sb0Y,43.9195863,5
K00W12V,43.6891391,3
K00WI3L,43.7183368,4
K00WI3M,45.100652,5
K00WI3O,43.9870956,5
K00Y01V,44.0934933,5
K00Y01X,45.8210954,6
K00Y02A,44.3229735,5
K00Y02E,48.2196239,5
K00Y02F,45.7885174,5
K01DA6B,42.899985,4
K01DA6C,41.9632828,11
K01DA6D,43.7575853,6
K01E24S,44.0841082,4
K01FH2U,39.1926376,4
K01FI5L,43.8501447,8
K01FI5T,46.9553398,4
K01FJ4J,43.9323987,3
K01FJ4M,53.6508438,9
K01H59A,43.6792438,3
K01K76F,44.3189819,4
K01K76G,51.3366056,4
K01K76H,46.1488217,4
K01K76L,44.4171901,4
K01K76Q,42.6146275,4
K01K76W,45.9924723,6
K01K76Y,39.4056122,4
K01K77A,47.3799329,5
K01K77E,45.3989093,4
K01K77G,61.724045,3
K01K77O,43.8627592,6
K01OA8K,43.1705163,5
K01OA8N,42.9292835,4
